ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
270,,conservas de coco cocolait,0.60,0.34,Conservas
930,,Colgate Kids 50 gr,2.05,1.79,Cremas Dentales
111,,colgate 60ml triple A,1.63,1.36,Cremas Dentales
112,,colgate 90ml,1.55,1.44,Cremas Dentales
658,,maksim 135 gramos,1.17,0.86,Cremas Dentales
115,,maksim 90g roja,1.00,0.70,Cremas Dentales
116,,maksim azul 90 gr,1.19,0.93,Cremas Dentales
113,,maksim roja 50 gr,0.55,0.38,Cremas Dentales
911,,Desodorante Dioxogen,1.60,1.25,Desodorante
314,,desodorante balance sobre,0.37,0.27,Desodorante
904,,lady speed s complete,0.42,0.38,Desodorante
125,,lady speed stick sobre,0.36,0.26,Desodorante
224,,rexona practi tapa,0.50,0.37,Desodorante
836,,speed stick clinica tubo,1.75,1.47,Desodorante
126,,speed stick sobre,0.47,0.40,Desodorante
362,,speed stick tubo morado y azul,1.60,1.35,Desodorante
966,,Sardina Della Nonna,0.84,0.75,Enlatados
907,,Twesty Queso,3.52,3.00,Enlatados
6,,atun been,1.85,1.59,Enlatados
644,,atun bubba desmenuzado,1.15,0.85,Enlatados
526,,atun bubba entero 170 gr,1.45,1.14,Enlatados
326,,diablitos under w 54gr,1.86,1.58,Enlatados
327,,diablitos unser w 115 gr,3.15,2.66,Enlatados
446,,pepitona eveba natural 140 gr,1.30,1.13,Enlatados
328,,pepitona margarita,2.25,1.91,Enlatados
198,,rikesa,4.43,3.91,Enlatados
455,,sardina eveba 170 gr,1.20,1.03,Enlatados
643,,sardina omega,0.81,0.63,Enlatados
858,,sardina peñero 170 gr,0.66,0.56,Enlatados
601,,sardina venport,0.79,0.67,Enlatados
295,,sardinas incosa,0.74,0.68,Enlatados
918,,Cheetos mega puffs 110 gr,2.07,1.80,Frituras
910,,Chiskesitos familiar 145 gr,1.77,1.37,Frituras
917,,De Todito resuelto grande,2.42,2.15,Frituras
927,,Papas Lays 30 gr,1.11,0.91,Frituras
78,,cheesetres P,0.93,0.71,Frituras
77,,cheesetres grande 150 gr,1.98,1.58,Frituras
736,,chicharon pequeño,0.68,0.50,Frituras
273,,doritos familiar,2.85,2.39,Frituras
391,,doritos pequeno,1.05,0.84,Frituras
588,,nachos,0.82,0.58,Frituras
939,,papas fritas,0.49,0.35,Frituras
255,,papas ralladas 100gr,0.72,0.02,Frituras
75,,pepito G,1.35,1.08,Frituras
76,,pepito P,0.70,0.47,Frituras
776,,pepito Pepiking,0.65,0.44,Frituras
393,,raquety pequeno,0.67,0.42,Frituras
546,,ruffles original 36 gr,1.22,0.98,Frituras
80,,toston grande,1.30,0.75,Frituras
81,,toston pequeño,0.52,0.45,Frituras
214,,mani salado,0.82,0.43,Fruto Secos
213,,mixtura,0.57,0.34,Fruto Secos
901,,Galleta Choco Crunch,1.29,1.08,Galletas Y Chucherias
986,,Galleta Mini Dani,1.18,0.92,Galletas Y Chucherias
903,,Galletas Tan,0.61,0.48,Galletas Y Chucherias
796,,Mega Bit lonchera,0.64,0.45,Galletas Y Chucherias
71,,club social,0.40,0.25,Galletas Y Chucherias
65,,coco crunch,1.20,1.00,Galletas Y Chucherias
197,,cocosette,1.00,0.77,Galletas Y Chucherias
72,,dandy,0.51,0.32,Galletas Y Chucherias
66,,deleitinas,0.60,0.46,Galletas Y Chucherias
331,,galleta belvita hony bran,0.49,0.30,Galletas Y Chucherias
762,,galleta de soda,0.33,0.20,Galletas Y Chucherias
11,,galleta maria caledonia,1.00,0.83,Galletas Y Chucherias
877,,galleta mini chips tira,0.73,0.61,Galletas Y Chucherias
64,,galletas babo,0.63,0.46,Galletas Y Chucherias
69,,max coco,0.66,0.43,Galletas Y Chucherias
715,,mega bit 120 g,1.75,1.33,Galletas Y Chucherias
714,,nucita crunch,2.00,1.62,Galletas Y Chucherias
70,,oreo original 4 galletas,0.51,0.37,Galletas Y Chucherias
73,,palitos,0.60,0.31,Galletas Y Chucherias
282,,salricas unidad,0.60,0.40,Galletas Y Chucherias
953,,Frijol Pico Negro 500 gr,0.64,0.50,Granos
801,,Lentejas Aurora 400 gr,1.32,1.17,Granos
945,,Lentejas Maizal 400 gr,1.32,1.11,Granos
27,,caraotas 1/2,1.17,1.07,Granos
400,,caraotas amanecer,1.75,1.50,Granos
168,,granola,0.75,0.37,Granos
28,,lentejas 1/2,1.38,0.95,Granos
277,,lentejas amanecer,1.36,1.15,Granos
238,,maiz cotufa amanecer,1.34,1.13,Granos
346,,quinchoncho medio kilo,1.21,1.08,Granos
947,,Harina Mimasa,0.84,0.73,Harina De Maiz
22,,harina doña emilia,0.85,0.73,Harina De Maiz
301,,harina lucharepa,0.94,0.81,Harina De Maiz
419,,harina pan libre de gluten,1.20,1.20,Harina De Maiz
190,,harina mary leudante,1.33,1.21,Harina De Trigo
210,,harina mary todo uso,1.44,1.26,Harina De Trigo
23,,robin hood Leudante,1.06,0.86,Harina De Trigo
24,,robin hood Todo uso,1.00,0.79,Harina De Trigo
547,,helados ciocolato,0.90,0.55,Helados
598,,Huevos unidad,0.21,0.10,Huevos
377,,huevos A,2.87,2.83,Huevos
932,,Jabon Moncler 90 gr,2.02,1.69,Jabon De Baño
929,,Jabon Palmolive 85 gr,1.10,0.96,Jabon De Baño
91,,anita 125 gr grande,0.93,0.79,Jabon De Baño
92,,anita 80 gr Pequeño,0.65,0.49,Jabon De Baño
230,,medicare classic 85 gr,0.85,0.60,Jabon De Baño
90,,protex 110 gr,1.82,2.26,Jabon De Baño
536,,protex 75 gr,1.13,0.94,Jabon De Baño
960,,Jabon Peros 460 gr,1.11,0.85,Jabon En Polvo
959,,Jabon Ultrex 500 gr,1.37,1.01,Jabon En Polvo
977,,Jabon las Llaves Activa 900 gr,2.72,2.33,Jabon En Polvo
676,,jabon alive 200 gr,0.63,0.45,Jabon En Polvo
957,,jabon las llaves Activa 400 gr,1.27,1.09,Jabon En Polvo
95,,panela las llaves 250 gr,1.00,0.72,Jabon Panela
94,,panela llaves bebe,1.13,0.92,Jabon Panela
62,,panelada,0.76,0.51,Jugo Se Sobre
63,,qualimax,0.36,0.23,Jugo Se Sobre
725,,El valle jugo 1.5 litro,1.40,0.91,Jugos
737,,el valle jugo 500 mi,0.66,0.62,Jugos
